tahun;status;kdurus;nmurus;kdskpd;nmskpd;kdsubunit;nmsubunit;kdbidurus;nmbidurus;kdprog;nmprog;kdgiat;nmgiat;kdsubgiat;nmsubgiat;kdsdana;nmsdana;kdrek;nmrek;jml;kdstatus
2027;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.01.01.2.01;Perencanaan. Penganggaran. dan Evaluasi Kinerja Perangkat Daerah;1.01.01.2.01.0001;Penyusunan Dokumen Perencanaan Perangkat Daerah;1.2.01.08;Dana Alokasi Umum (DAU);5.1.02.01.001.00024;Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor;33164350;001
2027;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.01.01.2.01;Perencanaan. Penganggaran. dan Evaluasi Kinerja Perangkat Daerah;1.01.01.2.01.0001;Penyusunan Dokumen Perencanaan Perangkat Daerah;1.2.01.08;Dana Alokasi Umum (DAU);5.1.02.01.001.00029;Belanja Alat/Bahan untuk Kegiatan Kantor-Bahan Komputer;14237100;001
2027;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.01.01.2.01;Perencanaan. Penganggaran. dan Evaluasi Kinerja Perangkat Daerah;1.01.01.2.01.0001;Penyusunan Dokumen Perencanaan Perangkat Daerah;1.2.01.08;Dana Alokasi Umum (DAU);5.1.02.01.001.00052;Belanja Makanan dan Minuman Rapat;3090000;001
2027;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.01.01.2.01;Perencanaan. Penganggaran. dan Evaluasi Kinerja Perangkat Daerah;1.01.01.2.01.0001;Penyusunan Dokumen Perencanaan Perangkat Daerah;1.2.01.08;Dana Alokasi Umum (DAU);5.1.02.04.001.00001;Belanja Perjalanan Dinas Biasa;23135000;001
2027;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.01.01.2.02;Administrasi Keuangan Perangkat Daerah;1.01.01.2.02.0001;Penyediaan Gaji dan Tunjangan ASN;1.2.01.08;Dana Alokasi Umum (DAU);5.1.01.01.001.00001;Belanja Gaji Pokok PNS;91351406012;001
2027;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.01.01.2.02;Administrasi Keuangan Perangkat Daerah;1.01.01.2.02.0001;Penyediaan Gaji dan Tunjangan ASN;1.2.01.08;Dana Alokasi Umum (DAU);5.1.01.01.001.00002;Belanja Gaji Pokok PPPK;58355053698;001
2027;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.01.01.2.02;Administrasi Keuangan Perangkat Daerah;1.01.01.2.02.0001;Penyediaan Gaji dan Tunjangan ASN;1.2.01.08;Dana Alokasi Umum (DAU);5.1.01.01.002.00001;Belanja Tunjangan Keluarga PNS;9705660537;001
2027;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.01.01.2.02;Administrasi Keuangan Perangkat Daerah;1.01.01.2.02.0001;Penyediaan Gaji dan Tunjangan ASN;1.2.01.08;Dana Alokasi Umum (DAU);5.1.01.01.002.00002;Belanja Tunjangan Keluarga PPPK;6096318299;001
2027;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.01.01.2.02;Administrasi Keuangan Perangkat Daerah;1.01.01.2.02.0001;Penyediaan Gaji dan Tunjangan ASN;1.2.01.08;Dana Alokasi Umum (DAU);5.1.01.01.003.00001;Belanja Tunjangan Jabatan PNS;280796750;001
2027;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.01.01.2.02;Administrasi Keuangan Perangkat Daerah;1.01.01.2.02.0001;Penyediaan Gaji dan Tunjangan ASN;1.2.01.08;Dana Alokasi Umum (DAU);5.1.01.01.004.00001;Belanja Tunjangan Fungsional PNS;7792520600;001
2027;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.01.01.2.02;Administrasi Keuangan Perangkat Daerah;1.01.01.2.02.0001;Penyediaan Gaji dan Tunjangan ASN;1.2.01.08;Dana Alokasi Umum (DAU);5.1.01.01.005.00001;Belanja Tunjangan Fungsional Umum PNS;360165500;001
2027;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.01.01.2.02;Administrasi Keuangan Perangkat Daerah;1.01.01.2.02.0001;Penyediaan Gaji dan Tunjangan ASN;1.2.01.08;Dana Alokasi Umum (DAU);5.1.01.01.005.00002;Belanja Tunjangan Fungsional Umum PPPK;3290248863;001
2027;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.01.01.2.02;Administrasi Keuangan Perangkat Daerah;1.01.01.2.02.0001;Penyediaan Gaji dan Tunjangan ASN;1.2.01.08;Dana Alokasi Umum (DAU);5.1.01.01.006.00001;Belanja Tunjangan Beras PNS;4975549480;001
2027;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.01.01.2.02;Administrasi Keuangan Perangkat Daerah;1.01.01.2.02.0001;Penyediaan Gaji dan Tunjangan ASN;1.2.01.08;Dana Alokasi Umum (DAU);5.1.01.01.006.00002;Belanja Tunjangan Beras PPPK;3966824468;001
