kdrek;nmrek;level;nmlevel;cek
4;PENDAPATAN DAERAH;1;AKUN;1
4.1;PENDAPATAN ASLI DAERAH (PAD);2;KELOMPOK;3
4.1.01;Pajak Daerah;3;JENIS;6
4.1.01.09;Pajak Reklame;4;OBJEK;9
4.1.01.09.001;Pajak Reklame Papan/Billboard/Videotron/ Megatron;6;RINCIAN OBJEK;13
4.1.01.09.001.00001;Pajak Reklame Papan/Billboard/Videotron/ Megatron;8;SUB RINCIAN OBJEK;19
4.1.01.09.002;Pajak Reklame Kain;6;RINCIAN OBJEK;13
4.1.01.09.002.00001;Pajak Reklame Kain;8;SUB RINCIAN OBJEK;19
4.1.01.09.003;Pajak Reklame Melekat/Stiker;6;RINCIAN OBJEK;13
4.1.01.09.003.00001;Pajak Reklame Melekat/Stiker;8;SUB RINCIAN OBJEK;19
4.1.01.09.005;Pajak Reklame Berjalan;6;RINCIAN OBJEK;13
4.1.01.09.005.00001;Pajak Reklame Berjalan;8;SUB RINCIAN OBJEK;19
4.1.01.13;Pajak Sarang Burung Walet;4;OBJEK;9
4.1.01.13.001;Pajak Sarang Burung Walet;6;RINCIAN OBJEK;13
4.1.01.13.001.00001;Pajak Sarang Burung Walet;8;SUB RINCIAN OBJEK;19
4.1.01.14;Pajak Mineral Bukan Logam dan Batuan;4;OBJEK;9
4.1.01.14.008;Pajak Dolomit;6;RINCIAN OBJEK;13
4.1.01.14.008.00001;Pajak Dolomit;8;SUB RINCIAN OBJEK;19
4.1.01.14.037;Pajak Mineral bukan Logam dan Batuan Lainnya;6;RINCIAN OBJEK;13
4.1.01.14.037.00001;Pajak Mineral bukan Logam dan Batuan Lainnya;8;SUB RINCIAN OBJEK;19
4.1.01.15;Pajak Bumi dan Bangunan Perdesaan dan Perkotaan (PBBP2);4;OBJEK;9
4.1.01.15.001;PBBP2;6;RINCIAN OBJEK;13
4.1.01.15.001.00001;PBBP2;8;SUB RINCIAN OBJEK;19
4.1.01.16;Bea Perolehan Hak Atas Tanah dan Bangunan (BPHTB);4;OBJEK;9
4.1.01.16.001;BPHTB-Pemindahan Hak;6;RINCIAN OBJEK;13
