tahun;kdstatus;status;kdurus;nmurus;kdskpd;nmskpd;kdsubunit;nmsubunit;kdbidurus;nmbidurus;kdprog;nmprog;kdgiat;nmgiat;kdsubgiat;nmsubgiat;kdsdana;nmsdana;kdrek;nmrek;jml;;
 2026;001;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.02.0.00.0.00.01.0000;DINAS KESEHATAN;1.02.0.00.0.00.01.0001;Rumah Sakit Umum Daerah (RSUD) Kamang Baru;1.02;URUSAN PEMERINTAHAN BIDANG KESEHATAN;1.02.02;PROGRAM PEMENUHAN UPAYA KESEHATAN PERORANGAN DAN UPAYA KESEHATAN MASYARAKAT;1.02.02.2.02;Penyediaan Layanan Kesehatan untuk UKM dan UKP Rujukan Tingkat Daerah Kabupaten/Kota;1.02.02.2.02.0032;Operasional Pelayanan Rumah Sakit;2.2.01.08.002.00005;DAU yang Ditentukan Penggunaannya Bidang Kesehatan;5.1.02.02.001.00030;Belanja Jasa Tenaga Kebersihan;35999999.85;;
 2026;001;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.02.0.00.0.00.01.0000;DINAS KESEHATAN;1.02.0.00.0.00.01.0001;Rumah Sakit Umum Daerah (RSUD) Kamang Baru;1.02;URUSAN PEMERINTAHAN BIDANG KESEHATAN;1.02.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.02.01.2.10;Peningkatan Pelayanan BLUD;1.02.01.2.10.0001;Pelayanan dan Penunjang Pelayanan BLUD;1.1.04.16;Pendapatan dari BLUD;5.1.02.99.099.09999;Belanja Barang dan Jasa BLUD;687687200;;
 2026;001;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.02.0.00.0.00.01.0000;DINAS KESEHATAN;1.02.0.00.0.00.01.0002;Laboratorium Kesehatan Daerah (Labkesda);1.02;URUSAN PEMERINTAHAN BIDANG KESEHATAN;1.02.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.02.01.2.10;Peningkatan Pelayanan BLUD;1.02.01.2.10.0001;Pelayanan dan Penunjang Pelayanan BLUD;1.1.04.16;Pendapatan dari BLUD;5.1.01.99.099.09999;Belanja Pegawai BLUD;16380000;;
 2026;001;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.02.0.00.0.00.01.0000;DINAS KESEHATAN;1.02.0.00.0.00.01.0002;Laboratorium Kesehatan Daerah (Labkesda);1.02;URUSAN PEMERINTAHAN BIDANG KESEHATAN;1.02.01;PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA;1.02.01.2.10;Peningkatan Pelayanan BLUD;1.02.01.2.10.0001;Pelayanan dan Penunjang Pelayanan BLUD;1.1.04.16;Pendapatan dari BLUD;5.1.02.99.099.09999;Belanja Barang dan Jasa BLUD;483620000;;
 2026;001;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.02.0.00.0.00.01.0000;DINAS KESEHATAN;1.02.0.00.0.00.01.0003;Puskesmas Sungai Lansek;1.02;URUSAN PEMERINTAHAN BIDANG KESEHATAN;1.02.02;PROGRAM PEMENUHAN UPAYA KESEHATAN PERORANGAN DAN UPAYA KESEHATAN MASYARAKAT;1.02.02.2.02;Penyediaan Layanan Kesehatan untuk UKM dan UKP Rujukan Tingkat Daerah Kabupaten/Kota;1.02.02.2.02.0001;Pengelolaan Pelayanan Kesehatan Ibu Hamil;2.2.01.09.002.00011;DAK Non Fisik-BOKKB-BOK;5.1.02.90.001.00001;Belanja Barang dan Jasa BOK Puskesmas;20800000;;
 2026;001;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.02.0.00.0.00.01.0000;DINAS KESEHATAN;1.02.0.00.0.00.01.0003;Puskesmas Sungai Lansek;1.02;URUSAN PEMERINTAHAN BIDANG KESEHATAN;1.02.02;PROGRAM PEMENUHAN UPAYA KESEHATAN PERORANGAN DAN UPAYA KESEHATAN MASYARAKAT;1.02.02.2.02;Penyediaan Layanan Kesehatan untuk UKM dan UKP Rujukan Tingkat Daerah Kabupaten/Kota;1.02.02.2.02.0005;Pengelolaan Pelayanan Kesehatan pada Usia Pendidikan Dasar;2.2.01.09.002.00011;DAK Non Fisik-BOKKB-BOK;5.1.02.90.001.00001;Belanja Barang dan Jasa BOK Puskesmas;22400000;;
 2026;001;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.02.0.00.0.00.01.0000;DINAS KESEHATAN;1.02.0.00.0.00.01.0003;Puskesmas Sungai Lansek;1.02;URUSAN PEMERINTAHAN BIDANG KESEHATAN;1.02.02;PROGRAM PEMENUHAN UPAYA KESEHATAN PERORANGAN DAN UPAYA KESEHATAN MASYARAKAT;1.02.02.2.02;Penyediaan Layanan Kesehatan untuk UKM dan UKP Rujukan Tingkat Daerah Kabupaten/Kota;1.02.02.2.02.0010;Pengelolaan Pelayanan Kesehatan Orang dengan Gangguan Jiwa Berat;2.2.01.09.002.00011;DAK Non Fisik-BOKKB-BOK;5.1.02.90.001.00001;Belanja Barang dan Jasa BOK Puskesmas;9000000;;
 2026;001;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.02.0.00.0.00.01.0000;DINAS KESEHATAN;1.02.0.00.0.00.01.0003;Puskesmas Sungai Lansek;1.02;URUSAN PEMERINTAHAN BIDANG KESEHATAN;1.02.02;PROGRAM PEMENUHAN UPAYA KESEHATAN PERORANGAN DAN UPAYA KESEHATAN MASYARAKAT;1.02.02.2.02;Penyediaan Layanan Kesehatan untuk UKM dan UKP Rujukan Tingkat Daerah Kabupaten/Kota;1.02.02.2.02.0011;Pengelolaan Pelayanan Kesehatan Orang Terduga Tuberkulosis;2.2.01.09.002.00011;DAK Non Fisik-BOKKB-BOK;5.1.02.90.001.00001;Belanja Barang dan Jasa BOK Puskesmas;11000000;;
 2026;001;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.02.0.00.0.00.01.0000;DINAS KESEHATAN;1.02.0.00.0.00.01.0003;Puskesmas Sungai Lansek;1.02;URUSAN PEMERINTAHAN BIDANG KESEHATAN;1.02.02;PROGRAM PEMENUHAN UPAYA KESEHATAN PERORANGAN DAN UPAYA KESEHATAN MASYARAKAT;1.02.02.2.02;Penyediaan Layanan Kesehatan untuk UKM dan UKP Rujukan Tingkat Daerah Kabupaten/Kota;1.02.02.2.02.0015;Pengelolaan Pelayanan Kesehatan Gizi Masyarakat;2.2.01.09.002.00011;DAK Non Fisik-BOKKB-BOK;5.1.02.90.001.00001;Belanja Barang dan Jasa BOK Puskesmas;251874000;;
 2026;001;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.02.0.00.0.00.01.0000;DINAS KESEHATAN;1.02.0.00.0.00.01.0003;Puskesmas Sungai Lansek;1.02;URUSAN PEMERINTAHAN BIDANG KESEHATAN;1.02.02;PROGRAM PEMENUHAN UPAYA KESEHATAN PERORANGAN DAN UPAYA KESEHATAN MASYARAKAT;1.02.02.2.02;Penyediaan Layanan Kesehatan untuk UKM dan UKP Rujukan Tingkat Daerah Kabupaten/Kota;1.02.02.2.02.0017;Pengelolaan Pelayanan Kesehatan Lingkungan;2.2.01.09.002.00011;DAK Non Fisik-BOKKB-BOK;5.1.02.90.001.00001;Belanja Barang dan Jasa BOK Puskesmas;7900000;;
