tahun;status;kdurus;nmurus;kdskpd;nmskpd;kdsubunit;nmsubunit;kdbidurus;nmbidurus;kdprog;nmprog;kdgiat;nmgiat;kdsubgiat;nmsubgiat;kdsdana;nmsdana;kdrek;nmrek;jml;
 2026;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.02;PROGRAM PENGELOLAAN PENDIDIKAN;1.01.02.2.01;Pengelolaan Pendidikan Sekolah Dasar;1.01.02.2.01.0006;Pembangunan Sarana, Prasarana dan Utilitas Sekolah;2.2.01.08.002.00004;DAU yang Ditentukan Penggunaannya Bidang Pendidikan;5.1.02.01.001.00024;Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor;4571600;
 2026;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.02;PROGRAM PENGELOLAAN PENDIDIKAN;1.01.02.2.01;Pengelolaan Pendidikan Sekolah Dasar;1.01.02.2.01.0006;Pembangunan Sarana, Prasarana dan Utilitas Sekolah;2.2.01.08.002.00004;DAU yang Ditentukan Penggunaannya Bidang Pendidikan;5.1.02.01.001.00025;Belanja Alat/Bahan untuk Kegiatan Kantor- Kertas dan Cover;1896600;
 2026;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.02;PROGRAM PENGELOLAAN PENDIDIKAN;1.01.02.2.01;Pengelolaan Pendidikan Sekolah Dasar;1.01.02.2.01.0006;Pembangunan Sarana, Prasarana dan Utilitas Sekolah;2.2.01.08.002.00004;DAU yang Ditentukan Penggunaannya Bidang Pendidikan;5.1.02.01.001.00029;Belanja Alat/Bahan untuk Kegiatan Kantor-Bahan Komputer;2131800;
 2026;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.02;PROGRAM PENGELOLAAN PENDIDIKAN;1.01.02.2.01;Pengelolaan Pendidikan Sekolah Dasar;1.01.02.2.01.0006;Pembangunan Sarana, Prasarana dan Utilitas Sekolah;2.2.01.08.002.00004;DAU yang Ditentukan Penggunaannya Bidang Pendidikan;5.1.02.01.001.00052;Belanja Makanan dan Minuman Rapat;11490000;
 2026;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.02;PROGRAM PENGELOLAAN PENDIDIKAN;1.01.02.2.01;Pengelolaan Pendidikan Sekolah Dasar;1.01.02.2.01.0006;Pembangunan Sarana, Prasarana dan Utilitas Sekolah;2.2.01.08.002.00004;DAU yang Ditentukan Penggunaannya Bidang Pendidikan;5.1.02.02.008.00002;Belanja Jasa Konsultansi Perencanaan Arsitektur-Jasa Desain Arsitektural;82095200;
 2026;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.02;PROGRAM PENGELOLAAN PENDIDIKAN;1.01.02.2.01;Pengelolaan Pendidikan Sekolah Dasar;1.01.02.2.01.0006;Pembangunan Sarana, Prasarana dan Utilitas Sekolah;2.2.01.08.002.00004;DAU yang Ditentukan Penggunaannya Bidang Pendidikan;5.1.02.02.008.00019;Belanja Jasa Konsultansi Pengawasan Rekayasa-Jasa Pengawas Pekerjaan Konstruksi Bangunan Gedung;64890000;
 2026;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.02;PROGRAM PENGELOLAAN PENDIDIKAN;1.01.02.2.01;Pengelolaan Pendidikan Sekolah Dasar;1.01.02.2.01.0006;Pembangunan Sarana, Prasarana dan Utilitas Sekolah;2.2.01.08.002.00004;DAU yang Ditentukan Penggunaannya Bidang Pendidikan;5.1.02.04.001.00001;Belanja Perjalanan Dinas Biasa;12300000;
 2026;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.02;PROGRAM PENGELOLAAN PENDIDIKAN;1.01.02.2.01;Pengelolaan Pendidikan Sekolah Dasar;1.01.02.2.01.0006;Pembangunan Sarana, Prasarana dan Utilitas Sekolah;2.2.01.08.002.00004;DAU yang Ditentukan Penggunaannya Bidang Pendidikan;5.1.02.04.001.00003;Belanja Perjalanan Dinas Dalam Kota;21000000;
 2026;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.02;PROGRAM PENGELOLAAN PENDIDIKAN;1.01.02.2.01;Pengelolaan Pendidikan Sekolah Dasar;1.01.02.2.01.0006;Pembangunan Sarana, Prasarana dan Utilitas Sekolah;2.2.01.08.002.00004;DAU yang Ditentukan Penggunaannya Bidang Pendidikan;5.2.03.01.001.00032;Belanja Modal Bangunan Fasilitas Umum;90000000;
 2026;APBD;1;URUSAN PEMERINTAHAN WAJIB YANG BERKAITAN DENGAN PELAYANAN DASAR;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01.2.22.0.00.01.0000;DINAS PENDIDIKAN DAN KEBUDAYAAN;1.01;URUSAN PEMERINTAHAN BIDANG PENDIDIKAN;1.01.02;PROGRAM PENGELOLAAN PENDIDIKAN;1.01.02.2.01;Pengelolaan Pendidikan Sekolah Dasar;1.01.02.2.01.0006;Pembangunan Sarana, Prasarana dan Utilitas Sekolah;2.2.01.08.002.00004;DAU yang Ditentukan Penggunaannya Bidang Pendidikan;5.2.03.04.001.00004;Belanja Modal Pagar;315000000;
